SchoolYear,ISDCode,ISDName,DistrictCode,DistrictName,BuildingCode,BuildingName,CountyCode,CountyName,EntityType,SchoolLevel,LOCALE_NAME,MISTEM_NAME,MISTEM_CODE,TOTAL_ENROLLMENT,MALE_ENROLLMENT,FEMALE_ENROLLMENT,AMERICAN_INDIAN_ENROLLMENT,ASIAN_ENROLLMENT,AFRICAN_AMERICAN_ENROLLMENT,HISPANIC_ENROLLMENT,HAWAIIAN_ENROLLMENT,WHITE_ENROLLMENT,TWO_OR_MORE_RACES_ENROLLMENT,EARLY_MIDDLE_COLLEGE_ENROLLMENT,PREKINDERGARTEN_ENROLLMENT,KINDERGARTEN_ENROLLMENT,GRADE_1_ENROLLMENT,GRADE_2_ENROLLMENT,GRADE_3_ENROLLMENT,GRADE_4_ENROLLMENT,GRADE_5_ENROLLMENT,GRADE_6_ENROLLMENT,GRADE_7_ENROLLMENT,GRADE_8_ENROLLMENT,GRADE_9_ENROLLMENT,GRADE_10_ENROLLMENT,GRADE_11_ENROLLMENT,GRADE_12_ENROLLMENT,UNGRADED_ENROLLMENT,ECONOMIC_DISADVANTAGED_ENROLLMENT,SPECIAL_EDUCATION_ENROLLMENT,ENGLISH_LANGUAGE_LEARNERS_ENROLLMENT
"22 - 23 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","06971","Renaissance High School","82","Wayne","LEA School","High School","City: Large","Wayne Region","         3","1146","404","742","1","2","1122","7","1","3","10","0","0","0","0","0","0","0","0","0","0","0","441","229","223","253","0","713","18","13"
"22 - 23 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","00238","Roberto Clemente Learning Academy","82","Wayne","LEA School","Elementary","City: Large","Wayne Region","         3","500","271","229","0","1","26","420","0","45","8","0","0","65","80","87","94","76","98","0","0","0","0","0","0","0","0","457","61","339"
"22 - 23 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","04062","Ronald Brown Academy","82","Wayne","LEA School","Elem_Middle School","City: Large","Wayne Region","         3","703","378","325","3","0","689","2","0","3","6","0","0","65","94","72","95","80","80","81","69","67","0","0","0","0","0","622","111","<10"
"22 - 23 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","04413","Sampson-Webber Leadership Academy","82","Wayne","LEA School","Elem_Middle School","City: Large","Wayne Region","         3","350","200","150","0","0","337","12","0","0","1","0","0","38","52","38","44","32","38","30","42","36","0","0","0","0","0","332","55","<10"
"22 - 23 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","03420","Schulze Academy for Technology and Arts","82","Wayne","LEA School","Elem_Middle School","City: Large","Wayne Region","         3","692","328","364","1","0","686","3","1","0","1","0","0","60","83","85","82","90","70","72","88","62","0","0","0","0","0","604","62","<10"
"22 - 23 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","03540","Southeastern High School","82","Wayne","LEA School","High School","City: Large","Wayne Region","         3","644","347","297","1","2","629","3","0","8","1","0","0","0","0","0","0","0","0","0","0","0","206","197","161","80","0","562","79","<10"
"22 - 23 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","03558","Spain Elementary-Middle School","82","Wayne","LEA School","Elem_Middle School","City: Large","Wayne Region","         3","368","154","214","0","0","353","6","0","5","4","0","0","38","47","41","39","31","35","51","50","36","0","0","0","0","0","308","53","<10"
"22 - 23 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","03638","The School at Marygrove","82","Wayne","LEA School","Elem thru High School","City: Large","Wayne Region","         3","482","220","262","1","0","474","2","0","3","2","0","0","71","30","29","0","0","0","0","0","0","82","92","81","97","0","321","28","<10"
"22 - 23 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","04156","Thirkell Elementary-Middle School","82","Wayne","LEA School","Elem_Middle School","City: Large","Wayne Region","         3","501","275","226","0","1","494","3","1","1","1","0","0","62","54","58","64","58","70","54","41","40","0","0","0","0","0","457","61","<10"
"22 - 23 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","00857","Thurgood Marshall Elementary School","82","Wayne","LEA School","Elem_Middle School","City: Large","Wayne Region","         3","482","285","197","1","1","469","6","0","5","0","0","0","54","71","52","51","49","58","64","34","49","0","0","0","0","0","426","112","<10"
"22 - 23 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","03284","Turning Point Academy","82","Wayne","LEA School","Elem thru High School","City: Large","Wayne Region","         3","25","21","4","0","0","23","0","0","1","1","0","0","0","0","1","0","2","1","1","1","5","5","5","1","3","0","22","25","<10"
"22 - 23 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","04292","Vernor Elementary School","82","Wayne","LEA School","Elem_Middle School","City: Large","Wayne Region","         3","328","176","152","0","0","327","0","1","0","0","0","0","31","40","50","50","36","38","31","28","24","0","0","0","0","0","285","30","<10"
"22 - 23 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","04406","Wayne Elementary School","82","Wayne","LEA School","Elementary","City: Large","Wayne Region","         3","237","125","112","0","0","235","1","0","0","1","0","0","38","49","34","40","33","43","0","0","0","0","0","0","0","0","222","20","<10"
"22 - 23 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","08929","West Side Academy of Information Technology and Cyber Security","82","Wayne","LEA School","High School","City: Large","Wayne Region","         3","239","144","95","0","0","235","0","0","2","2","0","0","0","0","0","0","0","0","0","0","0","85","73","51","30","0","219","44","<10"
"22 - 23 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","04477","Western International High School","82","Wayne","LEA School","High School","City: Large","Wayne Region","         3","2151","1149","1002","3","7","422","1555","0","163","1","0","0","0","0","0","0","0","0","0","0","0","508","578","491","574","0","1627","251","1257"
