SchoolYear,ISDCode,ISDName,DistrictCode,DistrictName,BuildingCode,BuildingName,CountyCode,CountyName,EntityType,SchoolLevel,LOCALE_NAME,TOTAL_ENROLLMENT,MALE_ENROLLMENT,FEMALE_ENROLLMENT,AMERICAN_INDIAN_ENROLLMENT,ASIAN_ENROLLMENT,AFRICAN_AMERICAN_ENROLLMENT,HISPANIC_ENROLLMENT,HAWAIIAN_ENROLLMENT,WHITE_ENROLLMENT,TWO_OR_MORE_RACES_ENROLLMENT,EARLY_MIDDLE_COLLEGE_ENROLLMENT,KINDERGARTEN_ENROLLMENT,GRADE_1_ENROLLMENT,GRADE_2_ENROLLMENT,GRADE_3_ENROLLMENT,GRADE_4_ENROLLMENT,GRADE_5_ENROLLMENT,GRADE_6_ENROLLMENT,GRADE_7_ENROLLMENT,GRADE_8_ENROLLMENT,GRADE_9_ENROLLMENT,GRADE_10_ENROLLMENT,GRADE_11_ENROLLMENT,GRADE_12_ENROLLMENT,ECONOMIC_DISADVANTAGED_ENROLLMENT,SPECIAL_EDUCATION_ENROLLMENT,ENGLISH_LANGUAGE_LEARNERS_ENROLLMENT
"19 - 20 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","03130","Pulaski Elementary-Middle School","82","Wayne","LEA School","Elem_Middle School","City: Large","482","244","238","1","4","469","2","1","5","0","0","52","70","63","71","55","45","40","42","44","0","0","0","0","427","37","<10"
"19 - 20 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","02465","Randolph Career and Technical Center","82","Wayne","LEA Unique Education Provider","High School","City: Large","4","4","0","0","0","1","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","2","1","1","0","<10","<10"
"19 - 20 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","06971","Renaissance High School","82","Wayne","LEA School","High School","City: Large","1179","387","792","0","3","1170","3","0","3","0","0","0","0","0","0","0","0","0","0","0","344","308","278","249","798","17","<10"
"19 - 20 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","00238","Roberto Clemente Learning Academy","82","Wayne","LEA School","Elementary","City: Large","606","311","295","0","0","27","528","0","50","1","0","104","86","109","96","116","95","0","0","0","0","0","0","0","487","52","379"
"19 - 20 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","04062","Ronald Brown Academy","82","Wayne","LEA School","Elem_Middle School","City: Large","934","508","426","2","0","913","6","0","3","10","0","138","116","106","99","104","94","92","93","92","0","0","0","0","760","134","<10"
"19 - 20 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","04413","Sampson-Webber Leadership Academy","82","Wayne","LEA School","Elem_Middle School","City: Large","331","175","156","0","0","327","1","0","3","0","0","37","45","37","35","47","35","34","31","30","0","0","0","0","302","48","<10"
"19 - 20 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","03420","Schulze Academy for Technology and Arts","82","Wayne","LEA School","Elem_Middle School","City: Large","619","314","305","0","0","619","0","0","0","0","0","90","100","91","94","100","75","69","0","0","0","0","0","0","538","61","<10"
"19 - 20 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","03540","Southeastern High School","82","Wayne","LEA School","High School","City: Large","210","102","108","0","0","210","0","0","0","0","0","0","0","0","0","0","0","0","0","0","80","63","35","32","175","14","<10"
"19 - 20 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","03558","Spain Elementary-Middle School","82","Wayne","LEA School","Elem_Middle School","City: Large","350","167","183","1","0","346","3","0","0","0","0","45","32","31","37","44","36","26","40","59","0","0","0","0","274","42","<10"
"19 - 20 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","03638","The School at Marygrove","82","Wayne","LEA School","High School","Not Specified","118","55","63","0","0","115","0","0","3","0","0","0","0","0","0","0","0","0","0","0","118","0","0","0","87","<10","<10"
"19 - 20 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","04156","Thirkell Elementary-Middle School","82","Wayne","LEA School","Elem_Middle School","City: Large","581","321","260","0","0","575","4","0","2","0","0","67","87","104","65","62","59","54","45","38","0","0","0","0","520","93","<10"
"19 - 20 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","00857","Thurgood Marshall Elementary School","82","Wayne","LEA School","Elem_Middle School","City: Large","456","251","205","1","0","450","4","0","1","0","0","49","58","55","63","38","43","53","46","51","0","0","0","0","389","105","<10"
"19 - 20 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","03284","Turning Point Academy","82","Wayne","LEA School","Elem thru High School","City: Large","36","28","8","0","0","35","0","0","1","0","0","0","0","0","0","3","3","2","6","9","6","3","2","2","29","36","<10"
"19 - 20 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","04292","Vernor Elementary School","82","Wayne","LEA School","Elem_Middle School","City: Large","230","116","114","0","0","228","1","1","0","0","0","45","36","39","35","33","22","20","0","0","0","0","0","0","181","18","<10"
"19 - 20 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","04406","Wayne Elementary School","82","Wayne","LEA School","Elementary","City: Large","302","153","149","0","0","300","0","0","2","0","0","48","53","50","53","52","46","0","0","0","0","0","0","0","271","41","<10"
"19 - 20 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","08929","West Side Academy of Information Technology and Cyber Security","82","Wayne","LEA School","High School","City: Large","385","228","157","2","0","375","6","0","2","0","0","0","0","0","0","0","0","0","0","0","190","77","53","65","349","75","<10"
"19 - 20 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","04477","Western International High School","82","Wayne","LEA School","High School","City: Large","1964","1085","879","4","2","364","1438","0","156","0","0","0","0","0","0","0","0","0","0","0","491","484","514","475","1564","195","1095"
"19 - 20 School Year","82","Wayne RESA","82953","Detroit Service Learning Academy","08704","Detroit Service Learning Academy Campus","82","Wayne","PSA School","Elem_Middle School","City: Large","871","461","410","0","1","870","0","0","0","0","0","96","103","101","101","76","99","95","111","89","0","0","0","0","866","97","<10"
"19 - 20 School Year","82","Wayne RESA","82953","Detroit Service Learning Academy","03655","Oak Park Service Learning Academy (OPSLA)","63","Oakland","PSA School","Elementary","Not Specified","39","21","18","0","0","39","0","0","0","0","0","9","8","11","3","6","2","0","0","0","0","0","0","0","38","<10","<10"
"19 - 20 School Year","82","Wayne RESA","82953","Detroit Service Learning Academy","02524","Redford Service Learning Academy Campus","82","Wayne","PSA School","Elem_Middle School","Suburb: Large","406","187","219","0","1","404","0","0","1","0","0","41","47","40","46","41","43","48","57","43","0","0","0","0","400","38","<10"
"19 - 20 School Year","82","Wayne RESA","82763","Distinctive College Prep.","03146","Distinctive College Prep.","82","Wayne","PSA School","Elementary","Suburb: Large","428","225","203","0","0","426","0","0","2","0","0","72","71","88","85","59","53","0","0","0","0","0","0","0","406","43","<10"
"19 - 20 School Year","82","Wayne RESA","82763","Distinctive College Prep.","03429","Distinctive College Prep.","82","Wayne","PSA School","Elementary","Not Specified","175","86","89","0","0","170","1","0","2","2","0","45","37","38","25","30","0","0","0","0","0","0","0","0","164","13","<10"
"19 - 20 School Year","82","Wayne RESA","82930","Dove Academy of Detroit","08501","Dove Academy of Detroit","82","Wayne","PSA School","Elem_Middle School","City: Large","465","243","222","0","0","463","2","0","0","0","0","77","70","70","48","46","39","45","34","36","0","0","0","0","404","67","<10"
"19 - 20 School Year","82","Wayne RESA","82250","Ecorse Public Schools","02204","Downriver Virtual Academy","82","Wayne","LEA School","Middle_High School","Suburb: Large","6","3","3","0","0","5","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","3","0","2","5","<10","<10"
"19 - 20 School Year","82","Wayne RESA","82250","Ecorse Public Schools","01069","Ecorse Community High School","82","Wayne","LEA School","Middle_High School","Suburb: Large","244","121","123","0","0","196","18","0","29","1","0","0","0","0","0","0","0","0","0","0","68","63","58","55","193","48","15"
"19 - 20 School Year","82","Wayne RESA","82250","Ecorse Public Schools","03414","GrandPort Elementary Academy","82","Wayne","LEA School","Elem_Middle School","Suburb: Large","347","193","154","0","2","262","34","0","44","5","0","0","0","0","0","73","75","69","57","73","0","0","0","0","286","45","25"
"19 - 20 School Year","82","Wayne RESA","82250","Ecorse Public Schools","03299","Hope Academic Academy","82","Wayne","LEA School","High School","Suburb: Large","56","31","25","0","0","43","5","0","7","1","0","0","0","0","0","0","0","0","0","0","2","6","16","32","49","<10","<10"
"19 - 20 School Year","82","Wayne RESA","82250","Ecorse Public Schools","03144","Ralph J. Bunche Academy","82","Wayne","LEA School","Elementary","Suburb: Large","321","172","149","0","0","268","19","0","34","0","0","95","88","64","74","0","0","0","0","0","0","0","0","0","287","24","12"
"19 - 20 School Year","82","Wayne RESA","82250","Ecorse Public Schools","03444","SER Metro YouthBuild Learning Academy","82","Wayne","LEA School","High School","Not Specified","85","49","36","0","0","50","23","0","12","0","0","0","0","0","0","0","0","0","0","0","8","27","30","20","77","<10","18"
"19 - 20 School Year","82","Wayne RESA","82250","Ecorse Public Schools","03662","The SER Learning Academy – East","82","Wayne","LEA School","High School","Not Specified","39","24","15","0","0","37","1","0","1","0","0","0","0","0","0","0","0","0","0","0","9","5","8","17","34","<10","<10"
"19 - 20 School Year","82","Wayne RESA","82744","Escuela Avancemos","01369","Escuela Avancemos","82","Wayne","PSA School","Elem_Middle School","City: Large","312","174","138","0","0","10","289","0","13","0","0","43","52","49","44","44","44","36","0","0","0","0","0","0","309","23","253"
"19 - 20 School Year","82","Wayne RESA","82997","Flagship Charter Academy","09785","Flagship Charter Academy","82","Wayne","PSA School","Elem_Middle School","City: Large","706","359","347","0","0","698","1","0","0","7","0","107","77","77","77","86","84","81","58","59","0","0","0","0","700","55","<10"
"19 - 20 School Year","82","Wayne RESA","82180","Flat Rock Community Schools","01169","Ethel C. Bobcean Elem. School","82","Wayne","LEA School","Elementary","Suburb: Large","421","205","216","0","2","17","30","0","341","31","0","142","148","131","0","0","0","0","0","0","0","0","0","0","209","70","<10"
"19 - 20 School Year","82","Wayne RESA","82180","Flat Rock Community Schools","02336","Flat Rock Academic Virtual Academy 6-12","82","Wayne","LEA School","Middle_High School","Suburb: Large","151","64","87","1","0","6","10","0","129","5","0","0","0","0","0","0","0","1","2","2","9","16","48","73","75","22","<10"
"19 - 20 School Year","82","Wayne RESA","82180","Flat Rock Community Schools","01246","Flat Rock Community High School","82","Wayne","LEA School","High School","Suburb: Large","529","240","289","1","7","31","39","0","436","15","0","0","0","0","0","0","0","0","0","0","143","160","106","120","187","78","<10"
"19 - 20 School Year","82","Wayne RESA","82180","Flat Rock Community Schools","05233","John M. Barnes Elem. School","82","Wayne","LEA School","Elementary","Suburb: Large","401","202","199","1","1","22","23","0","347","7","0","0","0","0","129","131","141","0","0","0","0","0","0","0","173","67","<10"
"19 - 20 School Year","82","Wayne RESA","82180","Flat Rock Community Schools","04172","Thomas Simpson Middle School","82","Wayne","LEA School","Middle School","Suburb: Large","438","221","217","1","7","24","28","0","363","15","0","0","0","0","0","0","0","141","153","144","0","0","0","0","175","64","<10"
"19 - 20 School Year","82","Wayne RESA","82987","Frontier International Academy","09609","Frontier International Academy","82","Wayne","PSA School","Elem thru High School","City: Large","708","334","374","0","156","82","2","0","468","0","0","24","27","32","25","29","24","0","0","0","160","126","133","128","705","31","421"
"19 - 20 School Year","82","Wayne RESA","82987","Frontier International Academy","03274","Frontier International Academy - Elementary","50","Macomb","PSA School","Elementary","City: Midsize","124","66","58","0","99","9","0","0","16","0","0","25","29","24","15","20","11","0","0","0","0","0","0","0","119","<10","94"
"19 - 20 School Year","82","Wayne RESA","82050","Garden City Public Schools","04674","Burger Development Center","82","Wayne","LEA School","Elem thru High School","Suburb: Large","217","174","43","0","8","56","9","0","143","1","0","0","2","2","5","5","3","8","8","9","10","13","22","15","119","217","<10"
"19 - 20 School Year","82","Wayne RESA","82050","Garden City Public Schools","07376","Cambridge Alternative High School","82","Wayne","LEA School","High School","Suburb: Large","371","215","156","5","0","124","10","0","227","5","0","0","0","0","0","0","0","0","0","0","17","115","126","113","257","51","<10"
"19 - 20 School Year","82","Wayne RESA","82050","Garden City Public Schools","00513","Douglas Elementary 3-4 Campus","82","Wayne","LEA School","Elementary","Suburb: Large","445","235","210","3","5","39","25","0","351","22","0","0","0","0","218","227","0","0","0","0","0","0","0","0","284","92","22"
"19 - 20 School Year","82","Wayne RESA","82050","Garden City Public Schools","00514","Farmington 5-6 Campus","82","Wayne","LEA School","Elem_Middle School","Suburb: Large","471","230","241","1","6","40","31","1","368","24","0","0","0","0","0","0","219","252","0","0","0","0","0","0","281","79","15"
"19 - 20 School Year","82","Wayne RESA","82050","Garden City Public Schools","01359","Garden City High School","82","Wayne","LEA School","High School","Suburb: Large","959","464","495","3","10","75","60","1","797","13","0","0","0","0","0","0","0","0","0","0","260","252","231","216","478","113","29"
"19 - 20 School Year","82","Wayne RESA","82050","Garden City Public Schools","04463","Garden City Middle School","82","Wayne","LEA School","Middle School","Suburb: Large","446","241","205","3","6","28","21","0","371","17","0","0","0","0","0","0","0","0","244","202","0","0","0","0","264","64","13"
"19 - 20 School Year","82","Wayne RESA","82050","Garden City Public Schools","00516","Lathers Early Childhood and Kindergarten Center","82","Wayne","LEA School","Elementary","Suburb: Large","269","140","129","3","1","20","14","1","210","20","0","269","0","0","0","0","0","0","0","0","0","0","0","0","187","26","<10"
"19 - 20 School Year","82","Wayne RESA","82050","Garden City Public Schools","00523","Memorial Elementary 1-2 Campus","82","Wayne","LEA School","Elementary","Suburb: Large","449","219","230","0","3","42","37","1","340","26","0","0","227","222","0","0","0","0","0","0","0","0","0","0","292","75","<10"
"19 - 20 School Year","82","Wayne RESA","82937","George Crockett Academy","08635","George Crockett Academy","82","Wayne","PSA School","Elem_Middle School","City: Large","432","235","197","0","0","432","0","0","0","0","0","49","54","53","52","46","43","46","54","35","0","0","0","0","432","64","<10"
"19 - 20 School Year","82","Wayne RESA","82963","George Washington Carver Academy","02484","George Washington Carver Elementary School","82","Wayne","PSA School","Elementary","Suburb: Large","319","165","154","0","0","318","0","0","1","0","0","68","62","50","59","80","0","0","0","0","0","0","0","0","319","22","<10"
"19 - 20 School Year","82","Wayne RESA","82963","George Washington Carver Academy","02488","George Washington Carver Middle School","82","Wayne","PSA School","Elem_Middle School","Suburb: Large","197","97","100","0","0","194","0","0","2","1","0","0","0","0","0","0","46","49","40","62","0","0","0","0","197","26","<10"
"19 - 20 School Year","82","Wayne RESA","82290","Gibraltar School District","00637","Chapman Elementary School","82","Wayne","LEA School","Elementary","Suburb: Large","415","226","189","1","6","9","29","0","358","12","0","64","70","72","83","71","55","0","0","0","0","0","0","0","121","56","12"
"19 - 20 School Year","82","Wayne RESA","82290","Gibraltar School District","06951","Frank E. Weiss Elem. School","82","Wayne","LEA School","Elementary","Suburb: Large","292","139","153","0","5","40","34","0","200","13","0","42","50","44","57","49","50","0","0","0","0","0","0","0","126","55","17"
"19 - 20 School Year","82","Wayne RESA","82290","Gibraltar School District","05417","Hunter Elementary School","82","Wayne","LEA School","Elementary","Suburb: Large","388","200","188","1","4","19","35","2","312","15","0","98","69","54","60","53","54","0","0","0","0","0","0","0","148","81","<10"
"19 - 20 School Year","82","Wayne RESA","82290","Gibraltar School District","02967","Lakeshore Virtual School","82","Wayne","LEA School","Elem thru High School","Suburb: Large","172","94","78","0","7","5","14","0","133","13","0","1","4","3","2","1","2","3","5","7","41","32","43","28","82","36","<10"
"19 - 20 School Year","82","Wayne RESA","82290","Gibraltar School District","00525","Oscar A. Carlson High School","82","Wayne","LEA School","High School","Suburb: Large","1144","563","581","0","27","64","73","1","937","42","0","0","0","0","0","0","0","0","0","0","325","313","249","257","308","127","13"
"19 - 20 School Year","82","Wayne RESA","82290","Gibraltar School District","00715","Parsons Elementary School","82","Wayne","LEA School","Elementary","Suburb: Large","403","189","214","1","7","21","33","1","307","33","0","62","61","61","75","63","81","0","0","0","0","0","0","0","112","64","10"
"19 - 20 School Year","82","Wayne RESA","82290","Gibraltar School District","06681","Shumate Middle School","82","Wayne","LEA School","Middle School","Suburb: Large","825","445","380","1","11","54","57","0","670","32","0","0","0","0","0","0","0","282","272","271","0","0","0","0","251","96","12"
"19 - 20 School Year","82","Wayne RESA","82725","Global Heights Academy","00442","Global Heights Academy","82","Wayne","PSA School","Elementary","Suburb: Large","254","108","146","0","0","203","8","0","35","8","0","43","42","49","42","41","37","0","0","0","0","0","0","0","252","31","31"
"19 - 20 School Year","82","Wayne RESA","82300","Grosse Ile Township Schools","01511","Grosse Ile High School","82","Wayne","LEA School","High School","Suburb: Large","581","287","294","5","21","8","28","0","503","16","0","0","0","0","0","0","0","0","0","0","141","162","135","143","61","44","<10"
"19 - 20 School Year","82","Wayne RESA","82300","Grosse Ile Township Schools","01510","Grosse Ile Middle School","82","Wayne","LEA School","Middle School","Suburb: Large","416","206","210","2","11","5","22","0","367","9","0","0","0","0","0","0","0","133","115","168","0","0","0","0","50","48","<10"
"19 - 20 School Year","82","Wayne RESA","82300","Grosse Ile Township Schools","05712","Meridian Elementary School","82","Wayne","LEA School","Elementary","Suburb: Large","416","209","207","0","6","2","27","0","371","10","0","0","0","0","129","148","139","0","0","0","0","0","0","0","48","54","<10"
"19 - 20 School Year","82","Wayne RESA","82300","Grosse Ile Township Schools","02948","Parke Lane Elementary School","82","Wayne","LEA School","Elementary","Suburb: Large","368","185","183","1","5","9","21","0","319","13","0","118","112","138","0","0","0","0","0","0","0","0","0","0","48","43","<10"
"19 - 20 School Year","82","Wayne RESA","82055","Grosse Pointe Public Schools","00424","Brownell Middle School","82","Wayne","LEA School","Middle School","Suburb: Large","522","263","259","4","6","35","21","0","440","16","0","0","0","0","0","0","0","166","155","201","0","0","0","0","48","50","<10"
"19 - 20 School Year","82","Wayne RESA","82055","Grosse Pointe Public Schools","05019","Charles A. Poupard Elem. School","82","Wayne","LEA School","Elementary","Suburb: Large","267","151","116","2","3","214","5","0","24","19","0","49","35","35","43","42","63","0","0","0","0","0","0","0","192","58","<10"
"19 - 20 School Year","82","Wayne RESA","82055","Grosse Pointe Public Schools","01226","Ferry Elementary School","82","Wayne","LEA School","Elementary","Suburb: Large","377","201","176","0","11","32","11","0","309","14","0","65","48","68","72","57","67","0","0","0","0","0","0","0","49","65","<10"
"19 - 20 School Year","82","Wayne RESA","82055","Grosse Pointe Public Schools","01386","George Defer Elementary School","82","Wayne","LEA School","Elementary","Suburb: Large","351","161","190","0","3","34","17","0","269","28","0","67","48","70","58","63","45","0","0","0","0","0","0","0","68","42","<10"
"19 - 20 School Year","82","Wayne RESA","82055","Grosse Pointe Public Schools","05142","Grosse Pointe North High School","82","Wayne","LEA School","High School","Suburb: Large","1260","627","633","3","25","352","43","2","788","47","0","0","0","0","0","0","0","0","0","0","295","307","289","352","362","155","<10"
"19 - 20 School Year","82","Wayne RESA","82055","Grosse Pointe Public Schools","01512","Grosse Pointe South High School","82","Wayne","LEA School","High School","Suburb: Large","1516","754","762","4","28","89","64","0","1283","48","0","0","0","0","0","0","0","0","0","0","347","359","383","399","149","126","<10"
"19 - 20 School Year","82","Wayne RESA","82055","Grosse Pointe Public Schools","02597","John Monteith Elementary School","82","Wayne","LEA School","Elementary","Suburb: Large","441","245","196","3","8","46","23","0","339","22","0","101","79","68","60","65","68","0","0","0","0","0","0","0","60","63","<10"
"19 - 20 School Year","82","Wayne RESA","82055","Grosse Pointe Public Schools","02026","Kerby Elementary School","82","Wayne","LEA School","Elementary","Suburb: Large","338","179","159","0","6","10","7","0","301","14","0","44","60","58","63","60","53","0","0","0","0","0","0","0","45","30","<10"
"19 - 20 School Year","82","Wayne RESA","82055","Grosse Pointe Public Schools","02172","Lewis Maire Elementary School","82","Wayne","LEA School","Elementary","Suburb: Large","341","189","152","1","2","15","10","0","294","19","0","91","43","49","50","48","60","0","0","0","0","0","0","0","26","44","<10"
"19 - 20 School Year","82","Wayne RESA","82055","Grosse Pointe Public Schools","02937","Parcells Middle School","82","Wayne","LEA School","Middle School","Suburb: Large","671","342","329","3","12","234","15","0","387","20","0","0","0","0","0","0","0","230","214","227","0","0","0","0","242","82","<10"
"19 - 20 School Year","82","Wayne RESA","82055","Grosse Pointe Public Schools","03031","Pierce Middle School","82","Wayne","LEA School","Middle School","Suburb: Large","470","243","227","4","8","44","10","0","372","32","0","0","0","0","0","0","0","139","178","153","0","0","0","0","94","57","<10"
"19 - 20 School Year","82","Wayne RESA","82055","Grosse Pointe Public Schools","03007","Richard Elementary School","82","Wayne","LEA School","Elementary","Suburb: Large","293","158","135","2","7","4","12","0","257","11","0","47","49","42","54","49","52","0","0","0","0","0","0","0","17","47","<10"
"19 - 20 School Year","82","Wayne RESA","82055","Grosse Pointe Public Schools","03237","Robert Trombly Elementary School","82","Wayne","LEA School","Elementary","Suburb: Large","230","117","113","1","4","22","2","0","186","15","0","40","41","30","34","36","49","0","0","0","0","0","0","0","36","31","<10"
"19 - 20 School Year","82","Wayne RESA","82055","Grosse Pointe Public Schools","02430","Stevens T. Mason Elementary School","82","Wayne","LEA School","Elementary","Suburb: Large","302","163","139","1","5","67","11","0","205","13","0","65","50","50","48","44","45","0","0","0","0","0","0","0","97","57","<10"
"19 - 20 School Year","82","Wayne RESA","82977","Hamtramck Academy","09307","Hamtramck Academy","82","Wayne","PSA School","Elem_Middle School","Suburb: Large","541","249","292","0","406","50","3","2","76","4","0","52","59","56","63","65","65","60","62","59","0","0","0","0","530","30","338"
"19 - 20 School Year","82","Wayne RESA","82060","Hamtramck, School District of the City of","07474","Dickinson East Elementary School","82","Wayne","LEA School","Elem_Middle School","Suburb: Large","705","401","304","0","234","45","0","0","416","10","0","77","93","92","114","106","120","103","0","0","0","0","0","0","636","38","484"
"19 - 20 School Year","82","Wayne RESA","82060","Hamtramck, School District of the City of","00916","Dickinson West Elementary School","82","Wayne","LEA School","Elem_Middle School","Suburb: Large","436","243","193","0","128","113","0","0","190","5","0","49","55","53","79","68","71","61","0","0","0","0","0","0","399","31","269"
"19 - 20 School Year","82","Wayne RESA","82060","Hamtramck, School District of the City of","08897","Early Childhood Elementary School","82","Wayne","LEA School","Elementary","Suburb: Large","146","75","71","0","58","14","0","0","72","2","0","58","55","33","0","0","0","0","0","0","0","0","0","0","128","<10","100"
"19 - 20 School Year","82","Wayne RESA","82060","Hamtramck, School District of the City of","01554","Hamtramck High School","82","Wayne","LEA School","High School","Suburb: Large","985","587","398","0","366","123","4","0","481","11","0","0","0","0","0","0","0","0","0","0","303","236","220","226","859","67","567"
"19 - 20 School Year","82","Wayne RESA","82060","Hamtramck, School District of the City of","01689","Holbrook School","82","Wayne","LEA School","Elem_Middle School","Suburb: Large","248","138","110","0","9","13","0","0","226","0","0","29","26","31","24","32","22","25","27","32","0","0","0","0","230","<10","203"
"19 - 20 School Year","82","Wayne RESA","82060","Hamtramck, School District of the City of","09948","Horizon High School","82","Wayne","LEA School","High School","Suburb: Large","170","138","32","0","27","55","0","0","84","4","0","0","0","0","0","0","0","0","0","0","54","36","31","49","149","<10","85"
"19 - 20 School Year","82","Wayne RESA","82060","Hamtramck, School District of the City of","02055","Kosciuszko School","82","Wayne","LEA School","Middle School","Suburb: Large","378","200","178","1","135","59","0","0","179","4","0","0","0","0","0","0","0","0","194","183","1","0","0","0","340","30","209"
"19 - 20 School Year","82","Wayne RESA","82060","Hamtramck, School District of the City of","03250","Tau Beta School","82","Wayne","LEA School","Elem_Middle School","Suburb: Large","285","160","125","0","11","0","0","0","273","1","0","26","33","30","45","32","27","29","32","31","0","0","0","0","252","<10","245"
"19 - 20 School Year","82","Wayne RESA","82986","Hanley International Academy","09606","Hanley International Academy","82","Wayne","PSA School","Elem_Middle School","Suburb: Large","652","336","316","0","496","132","1","0","23","0","0","85","75","75","75","76","75","72","64","55","0","0","0","0","625","59","273"
"19 - 20 School Year","82","Wayne RESA","82320","Harper Woods, The School District of the City of","00233","Beacon Elementary School","82","Wayne","LEA School","Elementary","Suburb: Large","362","197","165","0","0","346","3","0","13","0","0","122","134","106","0","0","0","0","0","0","0","0","0","0","286","46","<10"
"19 - 20 School Year","82","Wayne RESA","82320","Harper Woods, The School District of the City of","01550","Diploma Success Community School","82","Wayne","LEA School","Elem thru High School","Suburb: Large","200","113","87","0","0","198","0","0","1","1","0","0","0","0","0","0","0","0","0","0","60","71","47","22","159","<10","<10"
"19 - 20 School Year","82","Wayne RESA","82320","Harper Woods, The School District of the City of","00844","Harper Academy","82","Wayne","LEA School","High School","Suburb: Large","32","19","13","0","0","32","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","16","14","28","<10","<10"
"19 - 20 School Year","82","Wayne RESA","82320","Harper Woods, The School District of the City of","01578","Harper Woods High School","82","Wayne","LEA School","High School","Suburb: Large","916","480","436","0","2","883","5","0","22","4","0","0","0","0","0","0","0","0","0","0","241","296","208","171","645","109","<10"
"19 - 20 School Year","82","Wayne RESA","82320","Harper Woods, The School District of the City of","09753","Harper Woods Middle School","82","Wayne","LEA School","Middle School","Suburb: Large","451","238","213","0","0","434","2","0","14","1","0","0","0","0","0","0","0","123","151","177","0","0","0","0","346","55","<10"
"19 - 20 School Year","82","Wayne RESA","82320","Harper Woods, The School District of the City of","02224","Harper Woods Virtual Academy","82","Wayne","LEA School","Elem thru High School","Suburb: Large","179","85","94","0","1","103","6","0","68","1","0","0","0","0","0","0","0","1","6","4","53","51","36","28","122","<10","<10"
"19 - 20 School Year","82","Wayne RESA","82320","Harper Woods, The School District of the City of","04240","Tyrone Elementary School","82","Wayne","LEA School","Elementary","Suburb: Large","319","177","142","1","2","296","5","0","13","2","0","0","0","0","105","108","106","0","0","0","0","0","0","0","239","42","<10"
"19 - 20 School Year","82","Wayne RESA","82926","Henry Ford Academy","08471","Henry Ford Academy","82","Wayne","PSA School","High School","City: Small","513","250","263","1","8","319","52","0","131","2","0","0","0","0","0","0","0","0","0","0","154","134","109","116","308","53","40"
"19 - 20 School Year","82","Wayne RESA","82749","Highland Park Public School Academy System","03228","Barber Elementary School","82","Wayne","PSA School","Elem_Middle School","Suburb: Large","313","183","130","0","0","313","0","0","0","0","0","36","46","32","42","37","36","26","35","23","0","0","0","0","308","24","<10"
"19 - 20 School Year","82","Wayne RESA","82942","Hope Academy","08637","Hope Academy","82","Wayne","PSA School","Elem_Middle School","City: Large","501","255","246","0","0","496","4","0","1","0","0","65","57","56","56","53","58","45","60","51","0","0","0","0","456","43","<10"
"19 - 20 School Year","82","Wayne RESA","82957","Hope of Detroit Academy","08722","Hope of Detroit Academy - Elementary","82","Wayne","PSA School","Elementary","City: Large","428","213","215","0","0","50","368","0","10","0","0","82","89","84","86","87","0","0","0","0","0","0","0","0","410","56","290"
"19 - 20 School Year","82","Wayne RESA","82957","Hope of Detroit Academy","03043","Hope of Detroit Academy - Middle/High","82","Wayne","PSA School","Elem thru High School","City: Large","655","348","307","0","0","68","578","0","6","3","0","0","0","0","0","0","98","98","93","96","92","82","51","45","557","91","361"
"19 - 20 School Year","82","Wayne RESA","82340","Huron School District","03219","Brown Elementary School","82","Wayne","LEA School","Elementary","Suburb: Large","530","283","247","1","3","9","38","0","457","22","0","78","91","92","90","83","96","0","0","0","0","0","0","0","173","92","13"
"19 - 20 School Year","82","Wayne RESA","82340","Huron School District","05184","Carl T. Renton Jr. High School","82","Wayne","LEA School","Middle School","Suburb: Large","593","288","305","2","3","18","30","1","512","27","0","0","0","0","0","0","0","221","204","168","0","0","0","0","205","96","<10"
"19 - 20 School Year","82","Wayne RESA","82340","Huron School District","01799","Huron High School","82","Wayne","LEA School","High School","Suburb: Large","872","449","423","6","11","14","55","0","758","28","0","0","0","0","0","0","0","0","0","0","227","238","209","198","264","117","<10"
"19 - 20 School Year","82","Wayne RESA","82340","Huron School District","05780","William D. Miller Elem. School","82","Wayne","LEA School","Elementary","Suburb: Large","537","289","248","1","3","10","18","0","482","23","0","90","73","86","84","97","107","0","0","0","0","0","0","0","190","100","11"
