SchoolYear,ISDCode,ISDName,DistrictCode,DistrictName,BuildingCode,BuildingName,CountyCode,CountyName,EntityType,SchoolLevel,LOCALE_NAME,TOTAL_ENROLLMENT,MALE_ENROLLMENT,FEMALE_ENROLLMENT,AMERICAN_INDIAN_ENROLLMENT,ASIAN_ENROLLMENT,AFRICAN_AMERICAN_ENROLLMENT,HISPANIC_ENROLLMENT,HAWAIIAN_ENROLLMENT,WHITE_ENROLLMENT,TWO_OR_MORE_RACES_ENROLLMENT,EARLY_MIDDLE_COLLEGE_ENROLLMENT,KINDERGARTEN_ENROLLMENT,GRADE_1_ENROLLMENT,GRADE_2_ENROLLMENT,GRADE_3_ENROLLMENT,GRADE_4_ENROLLMENT,GRADE_5_ENROLLMENT,GRADE_6_ENROLLMENT,GRADE_7_ENROLLMENT,GRADE_8_ENROLLMENT,GRADE_9_ENROLLMENT,GRADE_10_ENROLLMENT,GRADE_11_ENROLLMENT,GRADE_12_ENROLLMENT,ECONOMIC_DISADVANTAGED_ENROLLMENT,SPECIAL_EDUCATION_ENROLLMENT,ENGLISH_LANGUAGE_LEARNERS_ENROLLMENT
"19 - 20 School Year","82","Wayne RESA","82924","Marvin L. Winans Academy of Performing Arts","","All Buildings","82","Wayne","PSA District","Elem_Middle School","City: Large","401","178","223","0","0","401","0","0","0","0","0","37","32","42","54","42","55","47","55","37","0","0","0","0","371","21","<10"
"19 - 20 School Year","82","Wayne RESA","82045","Melvindale-North Allen Park Schools","","All Buildings","82","Wayne","LEA District","Elem thru High School","Suburb: Large","3061","1632","1429","6","23","240","754","0","2012","26","11","232","219","226","198","215","248","228","233","264","303","236","207","238","2667","331","1645"
"19 - 20 School Year","82","Wayne RESA","82967","Metro Charter Academy","","All Buildings","82","Wayne","PSA District","Elem_Middle School","Suburb: Large","626","292","334","0","2","520","18","0","35","51","0","75","62","74","69","73","80","73","65","55","0","0","0","0","447","50","17"
"19 - 20 School Year","82","Wayne RESA","82751","Michigan Educational Choice Center","","All Buildings","82","Wayne","PSA District","Elem_Middle School","City: Large","292","152","140","2","2","278","6","0","3","1","0","33","25","35","32","34","29","37","39","28","0","0","0","0","251","32","<10"
"19 - 20 School Year","82","Wayne RESA","82713","New Paradigm College Prep","","All Buildings","82","Wayne","PSA District","Elem_Middle School","City: Large","221","92","129","1","0","119","93","0","6","2","0","29","28","22","35","25","22","29","20","11","0","0","0","0","219","15","46"
"19 - 20 School Year","82","Wayne RESA","82735","New Paradigm Glazer-Loving Academy","","All Buildings","82","Wayne","PSA District","Elem_Middle School","City: Large","311","158","153","0","0","302","2","0","0","7","0","42","50","42","40","36","36","25","22","18","0","0","0","0","298","26","<10"
"19 - 20 School Year","82","Wayne RESA","82758","New School High","","All Buildings","82","Wayne","PSA District","High School","Suburb: Large","73","45","28","1","0","4","2","1","65","0","0","0","0","0","0","0","0","0","0","0","21","14","21","17","15","22","<10"
"19 - 20 School Year","82","Wayne RESA","82390","Northville Public Schools","","All Buildings","82","Wayne","LEA District","Elem thru High School","Suburb: Large","7379","3735","3644","14","1504","233","300","6","5082","240","0","429","443","430","521","495","548","631","571","653","638","640","640","677","465","630","345"
"19 - 20 School Year","82","Wayne RESA","63912","Oakland International Academy","","All Buildings","82","Wayne","PSA District","Elem thru High School","City: Large","842","431","411","0","104","46","5","0","687","0","0","60","60","48","57","56","54","48","49","52","106","91","87","74","834","50","629"
"19 - 20 School Year","82","Wayne RESA","82956","Old Redford Academy","","All Buildings","82","Wayne","PSA District","Elem thru High School","City: Large","1551","767","784","2","1","1542","1","0","4","1","0","117","104","120","120","118","96","124","111","108","106","174","129","124","1240","148","<10"
