"county","district","school","min_grade","max_grade","total","p_amind","p_asian","p_black","p_hisp","p_white","p_mult","p_unreported","county_total","county_amind","county_asian","county_black","county_hisp","county_white","county_mult","district_total","district_amind","district_asian","district_black","district_hisp","district_white","district_mult","ell","ell_county","ell_dist","frpm","frpm_county","frpm_dist","swd_dist.x","swd_county.x","swd_dist.y","swd_county.y"
"Los Angeles","Los Angeles Unified","Valley Charter Elementary","K","9",254,0,0.0511811023622047,0.015748031496063,0.484251968503937,0.358267716535433,0.0905511811023622,0,1356718,0.00186405723223249,0.0811082332511251,0.0722663073682224,0.673041118345891,0.137554746085775,0.0278480863377651,563303,0.00160482014120287,0.0379476054627794,0.0775657150769657,0.756960286027236,0.1043985208671,0.0168009046640973,0.047244094488189,0.173454616213539,0.191676593236677,0.417322834645669,0.704419783624895,0.829766573229683,0.14,0.134,0.14,0.134
"Los Angeles","Los Angeles Unified","High Tech LA Middle","6","8",210,0,0.0285714285714286,0.0523809523809524,0.328571428571429,0.557142857142857,0.0285714285714286,0.00476190476190476,1356718,0.00186405723223249,0.0811082332511251,0.0722663073682224,0.673041118345891,0.137554746085775,0.0278480863377651,563303,0.00160482014120287,0.0379476054627794,0.0775657150769657,0.756960286027236,0.1043985208671,0.0168009046640973,0.10952380952381,0.173454616213539,0.191676593236677,0.447619047619048,0.704419783624895,0.829766573229683,0.14,0.134,0.14,0.134
"Los Angeles","Los Angeles Unified","Larchmont Charter","K","12",1547,0.000646412411118293,0.202327084680026,0.0407239819004525,0.278603749191984,0.370394311570782,0.102779573367809,0.00452488687782805,1356718,0.00186405723223249,0.0811082332511251,0.0722663073682224,0.673041118345891,0.137554746085775,0.0278480863377651,563303,0.00160482014120287,0.0379476054627794,0.0775657150769657,0.756960286027236,0.1043985208671,0.0168009046640973,0.074983839689722,0.173454616213539,0.191676593236677,0.425339366515837,0.704419783624895,0.829766573229683,0.14,0.134,0.14,0.134
"Los Angeles","Los Angeles Unified","Citizens of the World Charter School 5","K","9",130,0,0.0307692307692308,0.0923076923076923,0.246153846153846,0.446153846153846,0.184615384615385,0,1356718,0.00186405723223249,0.0811082332511251,0.0722663073682224,0.673041118345891,0.137554746085775,0.0278480863377651,563303,0.00160482014120287,0.0379476054627794,0.0775657150769657,0.756960286027236,0.1043985208671,0.0168009046640973,0.0307692307692308,0.173454616213539,0.191676593236677,0.207692307692308,0.704419783624895,0.829766573229683,0.14,0.134,0.14,0.134
"Los Angeles","Los Angeles Unified","Citizens of the World Charter School Silver Lake","K","9",846,0.00118203309692671,0.124113475177305,0.0614657210401891,0.411347517730496,0.314420803782506,0.0709219858156028,0.016548463356974,1356718,0.00186405723223249,0.0811082332511251,0.0722663073682224,0.673041118345891,0.137554746085775,0.0278480863377651,563303,0.00160482014120287,0.0379476054627794,0.0775657150769657,0.756960286027236,0.1043985208671,0.0168009046640973,0.160756501182033,0.173454616213539,0.191676593236677,0.471631205673759,0.704419783624895,0.829766573229683,0.14,0.134,0.14,0.134
"Los Angeles","Los Angeles Unified","The City","6","8",317,0.0157728706624606,0.0189274447949527,0.375394321766562,0.353312302839117,0.182965299684543,0.0410094637223975,0.0126182965299685,1356718,0.00186405723223249,0.0811082332511251,0.0722663073682224,0.673041118345891,0.137554746085775,0.0278480863377651,563303,0.00160482014120287,0.0379476054627794,0.0775657150769657,0.756960286027236,0.1043985208671,0.0168009046640973,0.0788643533123028,0.173454616213539,0.191676593236677,0.43217665615142,0.704419783624895,0.829766573229683,0.14,0.134,0.14,0.134
"Orange","Orange Unified","Tomorrow's Leadership Collaborative (TLC) Charter","K","9",150,0,0.0266666666666667,0.00666666666666667,0.746666666666667,0.146666666666667,0.0133333333333333,0.06,445543,0.00180678408144668,0.177628197502822,0.0132467573275756,0.506826501594683,0.245442078542363,0.045672359345787,26369,0.00170654935719974,0.101786188327202,0.012969775114718,0.578823618643104,0.260571125184876,0.0328795176153817,0.36,0.208206615298636,0.184989950320452,0.646666666666667,0.502811176474549,0.434449543024005,0.126,0.121,0.126,0.121
"Sacramento","Sacramento City Unified","Growth Public","K","9",241,0,0.0622406639004149,0.0871369294605809,0.307053941908714,0.186721991701245,0.0622406639004149,0.294605809128631,235753,0.00528095082565227,0.166746552535917,0.112872370659122,0.340572548387507,0.288861647571823,0.0802662108223437,43534,0.00498460973032572,0.176069279184086,0.144369917765425,0.425001148527588,0.169384848624064,0.0763081729223136,0.174273858921162,0.163153809283445,0.179629714705747,0.481327800829876,0.593116524498098,0.72086185510176,0.14,0.136,0.14,0.136
"San Diego","Chula Vista Elementary","High Tech Middle Chula Vista","6","8",322,0.0062111801242236,0.0683229813664596,0.0186335403726708,0.739130434782609,0.114906832298137,0.0496894409937888,0.0031055900621118,470336,0.0054365389848959,0.0679301605660634,0.0436156279765955,0.505279204653694,0.302989777520751,0.0658486698870595,26733,0.00190775446077881,0.0285789099614708,0.0410728313320615,0.776119402985075,0.106310552500655,0.0407361687801594,0.158385093167702,0.179048595046945,0.269778924924251,0.400621118012422,0.510490372839842,0.577750346014289,0.141,0.142,0.141,0.142
"San Diego","Chula Vista Elementary","High Tech Elementary Chula Vista","K","9",382,0,0.0130890052356021,0.0235602094240838,0.803664921465969,0.109947643979058,0.049738219895288,0,470336,0.0054365389848959,0.0679301605660634,0.0436156279765955,0.505279204653694,0.302989777520751,0.0658486698870595,26733,0.00190775446077881,0.0285789099614708,0.0410728313320615,0.776119402985075,0.106310552500655,0.0407361687801594,0.209424083769634,0.179048595046945,0.269778924924251,0.547120418848168,0.510490372839842,0.577750346014289,0.141,0.142,0.141,0.142
