"school_name","item_desc","n_tested","c_lev34","p_lev34","m_lev34","sds"
"SUCCESS ACADEMY CHARTER SCHOOL - BED STUY 1","Grade 3 ELA",78,76,0.97,0.521283618581907,2.18386092972045
"SUCCESS ACADEMY CHARTER SCHOOL - BED STUY 1","Grade 3 Math",78,78,1,0.545986145069275,2.12849685259952
"SUCCESS ACADEMY CHARTER SCHOOL - BED STUY 1","Grade 4 ELA",65,62,0.95,0.474522425249169,2.2998009941811
"SUCCESS ACADEMY CHARTER SCHOOL - BED STUY 1","Grade 4 Math",65,64,0.98,0.500103993344426,2.13587731741872
"SUCCESS ACADEMY CHARTER SCHOOL - BED STUY 1","Grade 5 ELA",101,77,0.76,0.371087236785561,2.07709003484292
"SUCCESS ACADEMY CHARTER SCHOOL - BED STUY 1","Grade 5 Math",101,97,0.96,0.457409793814433,2.23683608761965
"SUCCESS ACADEMY CHARTER SCHOOL - BED STUY 1","Grade 6 ELA",88,86,0.98,0.452651191203421,2.6247647297782
"SUCCESS ACADEMY CHARTER SCHOOL - BED STUY 1","Grade 6 Math",88,88,1,0.45456322541234,2.40676584363105
"SUCCESS ACADEMY CHARTER SCHOOL - BED STUY 1","Grade 7 ELA",77,68,0.88,0.376252587991718,2.53174056397284
"SUCCESS ACADEMY CHARTER SCHOOL - BED STUY 1","Grade 7 Math",77,75,0.97,0.411087257617729,2.44061491015173
"SUCCESS ACADEMY CHARTER SCHOOL - BED STUY 1","Grade 8 ELA",45,43,0.96,0.46215331010453,2.47749475139666
"SUCCESS ACADEMY CHARTER SCHOOL - BENSONHURST","Grade 3 ELA",85,84,0.99,0.521283618581907,2.28119907114594
"SUCCESS ACADEMY CHARTER SCHOOL - BENSONHURST","Grade 3 Math",87,87,1,0.545986145069275,2.12849685259952
"SUCCESS ACADEMY CHARTER SCHOOL - BENSONHURST","Grade 4 ELA",75,70,0.93,0.474522425249169,2.20306452893828
"SUCCESS ACADEMY CHARTER SCHOOL - BENSONHURST","Grade 4 Math",75,75,1,0.500103993344426,2.22489149081448
"SUCCESS ACADEMY CHARTER SCHOOL - BRONX 4","Grade 3 ELA",83,82,0.99,0.521283618581907,2.28119907114594
"SUCCESS ACADEMY CHARTER SCHOOL - BRONX 4","Grade 3 Math",83,83,1,0.545986145069275,2.12849685259952
"SUCCESS ACADEMY CHARTER SCHOOL - BRONX 4","Grade 4 ELA",89,76,0.85,0.474522425249169,1.81611866796702
"SUCCESS ACADEMY CHARTER SCHOOL - BRONX 4","Grade 4 Math",89,88,0.99,0.500103993344426,2.1803844041166
"SUCCESS ACADEMY CHARTER SCHOOL - ROSEDALE","Grade 3 ELA",79,78,0.99,0.521283618581907,2.28119907114594
"SUCCESS ACADEMY CHARTER SCHOOL - ROSEDALE","Grade 3 Math",78,78,1,0.545986145069275,2.12849685259952
"SUCCESS ACADEMY CHARTER SCHOOL - ROSEDALE","Grade 4 ELA",84,79,0.94,0.474522425249169,2.25143276155969
"SUCCESS ACADEMY CHARTER SCHOOL - ROSEDALE","Grade 4 Math",84,82,0.98,0.500103993344426,2.13587731741872
"SUCCESS ACADEMY CHARTER SCHOOL - SPRINGFIELD GARDENS","Grade 3 ELA",95,89,0.94,0.521283618581907,2.03785371758221
"SUCCESS ACADEMY CHARTER SCHOOL - SPRINGFIELD GARDENS","Grade 3 Math",95,90,0.95,0.545986145069275,1.89408805323322
"SUCCESS ACADEMY CHARTER SCHOOL - SPRINGFIELD GARDENS","Grade 4 ELA",94,79,0.84,0.474522425249169,1.76775043534561
"SUCCESS ACADEMY CHARTER SCHOOL - SPRINGFIELD GARDENS","Grade 4 Math",93,86,0.92,0.500103993344426,1.86883479723142
