SchoolYear,ISDCode,ISDName,DistrictCode,DistrictName,BuildingCode,BuildingName,CountyCode,CountyName,EntityType,SchoolLevel,LOCALE_NAME,MISTEM_NAME,MISTEM_CODE,TOTAL_ENROLLMENT,MALE_ENROLLMENT,FEMALE_ENROLLMENT,AMERICAN_INDIAN_ENROLLMENT,ASIAN_ENROLLMENT,AFRICAN_AMERICAN_ENROLLMENT,HISPANIC_ENROLLMENT,HAWAIIAN_ENROLLMENT,WHITE_ENROLLMENT,TWO_OR_MORE_RACES_ENROLLMENT,EARLY_MIDDLE_COLLEGE_ENROLLMENT,KINDERGARTEN_ENROLLMENT,GRADE_1_ENROLLMENT,GRADE_2_ENROLLMENT,GRADE_3_ENROLLMENT,GRADE_4_ENROLLMENT,GRADE_5_ENROLLMENT,GRADE_6_ENROLLMENT,GRADE_7_ENROLLMENT,GRADE_8_ENROLLMENT,GRADE_9_ENROLLMENT,GRADE_10_ENROLLMENT,GRADE_11_ENROLLMENT,GRADE_12_ENROLLMENT,ECONOMIC_DISADVANTAGED_ENROLLMENT,SPECIAL_EDUCATION_ENROLLMENT,ENGLISH_LANGUAGE_LEARNERS_ENROLLMENT
"20 - 21 School Year","82","Wayne RESA","82754","Tipton Academy","01734","Tipton Academy - PK-3","82","Wayne","PSA School","Elementary","Suburb: Large","Wayne Region","         3","253","125","128","0","0","104","11","0","121","17","0","75","71","59","48","0","0","0","0","0","0","0","0","0","172","22","<10"
"20 - 21 School Year","82","Wayne RESA","82155","Trenton Public Schools","06130","Boyd W. Arthurs Middle School","82","Wayne","LEA School","Middle School","Suburb: Large","Wayne Region","         3","554","289","265","0","5","9","38","0","486","16","0","0","0","0","0","0","0","142","188","224","0","0","0","0","135","102","<10"
"20 - 21 School Year","82","Wayne RESA","82155","Trenton Public Schools","01927","Jesse L. Anderson Elementary School","82","Wayne","LEA School","Elementary","Suburb: Large","Wayne Region","         3","495","262","233","1","5","9","18","0","448","14","0","80","92","81","73","74","95","0","0","0","0","0","0","0","111","82","<10"
"20 - 21 School Year","82","Wayne RESA","82155","Trenton Public Schools","03189","Richard C. Hedke Elem. School","82","Wayne","LEA School","Elementary","Suburb: Large","Wayne Region","         3","485","258","227","1","6","10","46","0","403","19","0","74","84","86","73","94","74","0","0","0","0","0","0","0","171","91","20"
"20 - 21 School Year","82","Wayne RESA","82155","Trenton Public Schools","04203","Trenton High School","82","Wayne","LEA School","High School","Suburb: Large","Wayne Region","         3","844","454","390","4","18","14","50","0","740","18","0","0","0","0","0","0","0","0","0","0","202","208","218","214","207","108","11"
"20 - 21 School Year","82","Wayne RESA","82973","Trillium Academy","09094","Trillium Academy","82","Wayne","PSA School","Elem thru High School","City: Small","Wayne Region","         3","606","305","301","1","19","205","70","2","293","16","0","42","55","47","45","39","55","53","56","48","51","38","40","37","440","83","24"
"20 - 21 School Year","82","Wayne RESA","82950","Universal Academy","08671","Universal Academy","82","Wayne","PSA School","Elem thru High School","City: Large","Wayne Region","         3","686","356","330","0","0","12","19","0","655","0","0","41","50","53","55","55","52","48","53","53","58","61","58","49","684","43","501"
"20 - 21 School Year","82","Wayne RESA","82982","Universal Learning Academy","09827","Universal Learning Academy","82","Wayne","PSA School","Elem thru High School","Suburb: Large","Wayne Region","         3","764","357","407","0","14","68","5","0","662","15","0","61","60","65","69","62","64","65","67","59","64","51","41","36","704","53","455"
"20 - 21 School Year","82","Wayne RESA","82702","University Preparatory Academy (PSAD)","09908","University Preparatory Academy (PSAD) - Elementary","82","Wayne","PSA School","Elementary","City: Large","Wayne Region","         3","477","232","245","0","6","448","1","0","6","16","0","75","81","81","83","82","75","0","0","0","0","0","0","0","314","39","<10"
"20 - 21 School Year","82","Wayne RESA","82702","University Preparatory Academy (PSAD)","09887","University Preparatory Academy (PSAD) - Elementary","82","Wayne","PSA School","Elementary","City: Large","Wayne Region","         3","413","196","217","0","0","406","1","0","1","5","0","59","61","76","73","76","68","0","0","0","0","0","0","0","297","47","<10"
"20 - 21 School Year","82","Wayne RESA","82702","University Preparatory Academy (PSAD)","09889","University Preparatory Academy (PSAD) - High School","82","Wayne","PSA School","High School","City: Large","Wayne Region","         3","556","265","291","1","0","543","0","0","1","11","0","0","0","0","0","0","0","0","0","0","156","148","120","132","351","83","<10"
"20 - 21 School Year","82","Wayne RESA","82702","University Preparatory Academy (PSAD)","09888","University Preparatory Academy (PSAD) - Middle","82","Wayne","PSA School","Middle School","City: Large","Wayne Region","         3","405","189","216","0","0","392","1","0","3","9","0","0","0","0","0","0","0","108","149","148","0","0","0","0","253","56","<10"
"20 - 21 School Year","82","Wayne RESA","82703","University Preparatory Art & Design","01240","University Preparatory Art & Design Elementary","82","Wayne","PSA School","Elementary","City: Large","Wayne Region","         3","403","200","203","0","0","397","3","0","1","2","0","58","74","69","64","71","67","0","0","0","0","0","0","0","279","31","<10"
"20 - 21 School Year","82","Wayne RESA","82703","University Preparatory Art & Design","00101","University Preparatory Art & Design Middle/High","82","Wayne","PSA School","Middle_High School","City: Large","Wayne Region","         3","869","426","443","0","1","849","6","1","1","11","0","0","0","0","0","0","0","122","113","130","134","128","126","116","575","100","<10"
"20 - 21 School Year","82","Wayne RESA","82701","University Preparatory Science and Math (PSAD)","00506","University Preparatory Science and Math (PSAD) High School","82","Wayne","PSA School","High School","City: Large","Wayne Region","         3","505","262","243","2","2","490","3","0","1","7","0","0","0","0","0","0","0","0","0","0","147","136","110","112","342","38","<10"
"20 - 21 School Year","82","Wayne RESA","82701","University Preparatory Science and Math (PSAD)","09907","University Preparatory Science and Math (PSAD) Middle School","82","Wayne","PSA School","Middle School","City: Large","Wayne Region","         3","512","274","238","3","0","489","4","1","8","7","0","0","0","0","0","0","0","146","181","185","0","0","0","0","291","38","<10"
"20 - 21 School Year","82","Wayne RESA","82701","University Preparatory Science and Math (PSAD)","01567","University Preparatory Science and Math - Elementary","82","Wayne","PSA School","Elementary","City: Large","Wayne Region","         3","514","281","233","0","1","497","1","0","5","10","0","70","81","87","92","89","95","0","0","0","0","0","0","0","305","34","<10"
"20 - 21 School Year","82","Wayne RESA","82724","University Yes Academy","00378","University Yes Academy","82","Wayne","PSA School","Elem thru High School","City: Large","Wayne Region","         3","462","226","236","0","0","456","0","0","1","5","0","26","50","51","48","48","47","52","68","72","0","0","0","0","462","35","<10"
"20 - 21 School Year","82","Wayne RESA","82430","Van Buren Public Schools","00264","Belleville High School","82","Wayne","LEA School","Middle_High School","Suburb: Large","Wayne Region","         3","1746","917","829","7","19","826","67","1","771","55","21","0","0","0","0","0","0","0","0","0","474","481","437","354","763","204","34"
"20 - 21 School Year","82","Wayne RESA","82430","Van Buren Public Schools","01071","Edgemont Elementary School","82","Wayne","LEA School","Elementary","Suburb: Large","Wayne Region","         3","359","185","174","1","4","88","22","0","213","31","0","63","80","77","76","63","0","0","0","0","0","0","0","0","192","79","13"
"20 - 21 School Year","82","Wayne RESA","82430","Van Buren Public Schools","05988","McBride Middle School","82","Wayne","LEA School","Middle_High School","Suburb: Large","Wayne Region","         3","669","347","322","2","6","282","30","1","317","31","0","0","0","0","0","0","0","1","317","351","0","0","0","0","364","112","17"
"20 - 21 School Year","82","Wayne RESA","82430","Van Buren Public Schools","00263","Owen Intermediate School","82","Wayne","LEA School","Elem_Middle School","Suburb: Large","Wayne Region","         3","524","279","245","2","6","208","19","1","260","28","0","0","0","0","0","0","253","271","0","0","0","0","0","0","289","82","11"
"20 - 21 School Year","82","Wayne RESA","82430","Van Buren Public Schools","03157","Rawsonville Elementary School","81","Washtenaw","LEA School","Elementary","Suburb: Large","Wayne Region","         3","323","162","161","0","1","155","23","1","127","16","0","55","72","60","70","66","0","0","0","0","0","0","0","0","249","63","17"
"20 - 21 School Year","82","Wayne RESA","82430","Van Buren Public Schools","06827","Savage Road Elementary School","82","Wayne","LEA School","Elementary","Suburb: Large","Wayne Region","         3","312","161","151","1","1","102","21","0","177","10","0","54","58","70","70","60","0","0","0","0","0","0","0","0","123","40","<10"
"20 - 21 School Year","82","Wayne RESA","82430","Van Buren Public Schools","06826","Tyler Road Elementary School","82","Wayne","LEA School","Elementary","Suburb: Large","Wayne Region","         3","364","175","189","1","2","187","18","0","129","27","0","72","75","78","72","67","0","0","0","0","0","0","0","0","229","57","26"
"20 - 21 School Year","82","Wayne RESA","82716","Vista Meadows Academy","09906","Vista Meadows Academy","82","Wayne","PSA School","High School","Suburb: Large","Wayne Region","         3","90","37","53","0","0","79","2","0","7","2","0","0","0","0","0","0","0","0","0","0","31","25","12","22","90","26","<10"
"20 - 21 School Year","82","Wayne RESA","82940","Voyageur Academy","08631","Voyageur Academy","82","Wayne","PSA School","Elem_Middle School","City: Large","Wayne Region","         3","685","313","372","2","1","504","149","0","20","9","0","48","72","72","74","79","83","84","91","82","0","0","0","0","676","38","100"
"20 - 21 School Year","82","Wayne RESA","82940","Voyageur Academy","09154","Voyageur College Prep","82","Wayne","PSA School","High School","City: Large","Wayne Region","         3","411","222","189","0","0","340","55","1","11","4","0","0","0","0","0","0","0","0","0","0","96","115","98","102","407","45","35"
"20 - 21 School Year","82","Wayne RESA","82746","W-A-Y Academy","01241","W-A-Y Academy - Chicago Site","82","Wayne","PSA School","Middle_High School","City: Large","Wayne Region","         3","135","66","69","1","0","132","1","0","1","0","0","0","0","0","0","0","0","0","2","15","40","44","19","15","135","13","<10"
"20 - 21 School Year","82","Wayne RESA","82746","W-A-Y Academy","01390","W-A-Y Academy - Vernor Site","82","Wayne","PSA School","Middle_High School","City: Large","Wayne Region","         3","126","68","58","0","0","20","85","0","20","1","0","0","0","0","0","0","0","3","12","5","37","31","21","17","126","11","73"
"20 - 21 School Year","82","Wayne RESA","82970","Warrendale Charter Academy","08934","Warrendale Charter Academy","82","Wayne","PSA School","Elem_Middle School","City: Large","Wayne Region","         3","779","383","396","1","1","723","25","0","3","26","0","96","114","93","91","85","85","80","74","61","0","0","0","0","761","68","23"
"20 - 21 School Year","82","Wayne RESA","82719","Washington-Parks Academy","00133","Lincoln-King Academy","82","Wayne","PSA School","Elem thru High School","City: Large","Wayne Region","         3","526","257","269","3","1","514","4","2","0","2","0","0","0","0","0","0","0","74","89","92","185","65","21","0","526","47","<10"
"20 - 21 School Year","82","Wayne RESA","82719","Washington-Parks Academy","00132","Washington-Parks Academy","82","Wayne","PSA School","Elem_Middle School","Suburb: Large","Wayne Region","         3","707","366","341","4","2","697","1","0","2","1","0","67","82","81","78","77","62","90","92","78","0","0","0","0","706","56","<10"
"20 - 21 School Year","82","Wayne RESA","82710","WAY Michigan","02302","WAY Michigan","82","Wayne","PSA School","Middle_High School","City: Large","Wayne Region","         3","191","107","84","0","2","54","18","0","116","1","0","0","0","0","0","0","0","9","14","24","49","38","38","19","163","25","<10"
"20 - 21 School Year","82","Wayne RESA","82160","Wayne-Westland Community School District","00017","Adams Middle School","82","Wayne","LEA School","Middle School","Suburb: Large","Wayne Region","         3","665","350","315","7","7","243","50","2","310","46","0","0","0","0","0","0","0","249","205","211","0","0","0","0","493","106","24"
"20 - 21 School Year","82","Wayne RESA","82160","Wayne-Westland Community School District","04926","Adlai Stevenson Middle School","82","Wayne","LEA School","Middle School","Suburb: Large","Wayne Region","         3","758","355","403","3","13","207","65","0","439","31","0","0","0","0","0","0","0","227","267","264","0","0","0","0","479","130","43"
