FIPSCode,LocationType,Location,ParentCounty,TimeFrame,DataFormat,Data
06606780,School District,Cabrillo Unified,San Mateo County,2014,Number,310
06606780,School District,Cabrillo Unified,San Mateo County,2014,Percent,9.2
06606780,School District,Cabrillo Unified,San Mateo County,2016,Number,348
06606780,School District,Cabrillo Unified,San Mateo County,2016,Percent,10.4
06606780,School District,Cabrillo Unified,San Mateo County,2015,Number,315
06606780,School District,Cabrillo Unified,San Mateo County,2015,Percent,9.3
06606780,School District,Cabrillo Unified,San Mateo County,2017,Number,355
06606780,School District,Cabrillo Unified,San Mateo County,2017,Percent,10.8
06606780,School District,Cabrillo Unified,San Mateo County,2018,Number,376
06606780,School District,Cabrillo Unified,San Mateo County,2018,Percent,11.7
06606780,School District,Cabrillo Unified,San Mateo County,2019,Number,392
06606780,School District,Cabrillo Unified,San Mateo County,2019,Percent,12.4
06617190,School District,Hillsborough City Elementary,San Mateo County,2019,Number,163
06617190,School District,Hillsborough City Elementary,San Mateo County,2019,Percent,12.1
06617190,School District,Hillsborough City Elementary,San Mateo County,2018,Number,144
06617190,School District,Hillsborough City Elementary,San Mateo County,2018,Percent,10.2
06617190,School District,Hillsborough City Elementary,San Mateo County,2017,Number,160
06617190,School District,Hillsborough City Elementary,San Mateo County,2017,Percent,10.8
06617190,School District,Hillsborough City Elementary,San Mateo County,2016,Number,176
06617190,School District,Hillsborough City Elementary,San Mateo County,2016,Percent,11.8
06617190,School District,Hillsborough City Elementary,San Mateo County,2015,Number,180
06617190,School District,Hillsborough City Elementary,San Mateo County,2015,Percent,11.6
06617190,School District,Hillsborough City Elementary,San Mateo County,2014,Number,178
06617190,School District,Hillsborough City Elementary,San Mateo County,2014,Percent,11.6
06617190,School District,Hillsborough City Elementary,San Mateo County,2012,Number,171
06617190,School District,Hillsborough City Elementary,San Mateo County,2012,Percent,11.2
06617190,School District,Hillsborough City Elementary,San Mateo County,2013,Number,188
06617190,School District,Hillsborough City Elementary,San Mateo County,2013,Percent,12.3
06617190,School District,Hillsborough City Elementary,San Mateo County,2011,Number,179
06617190,School District,Hillsborough City Elementary,San Mateo County,2011,Percent,11.8
06618870,School District,Jefferson Elementary,San Mateo County,2011,Number,496
06618870,School District,Jefferson Elementary,San Mateo County,2011,Percent,7.1
06618870,School District,Jefferson Elementary,San Mateo County,2013,Number,496
06618870,School District,Jefferson Elementary,San Mateo County,2013,Percent,7.1
06618870,School District,Jefferson Elementary,San Mateo County,2012,Number,487
06618870,School District,Jefferson Elementary,San Mateo County,2012,Percent,6.5
06618870,School District,Jefferson Elementary,San Mateo County,2014,Number,545
06618870,School District,Jefferson Elementary,San Mateo County,2014,Percent,7.6
06618870,School District,Jefferson Elementary,San Mateo County,2015,Number,581
06618870,School District,Jefferson Elementary,San Mateo County,2015,Percent,8.2
06618870,School District,Jefferson Elementary,San Mateo County,2016,Number,629
06618870,School District,Jefferson Elementary,San Mateo County,2016,Percent,8.8
06618870,School District,Jefferson Elementary,San Mateo County,2017,Number,647
06618870,School District,Jefferson Elementary,San Mateo County,2017,Percent,9.2
06618870,School District,Jefferson Elementary,San Mateo County,2018,Number,673
06618870,School District,Jefferson Elementary,San Mateo County,2018,Percent,9.9
06618870,School District,Jefferson Elementary,San Mateo County,2019,Number,705
06618870,School District,Jefferson Elementary,San Mateo County,2019,Percent,10.3
06618930,School District,Jefferson Union High,San Mateo County,2019,Number,459
06618930,School District,Jefferson Union High,San Mateo County,2019,Percent,9.6
06618930,School District,Jefferson Union High,San Mateo County,2018,Number,478
06618930,School District,Jefferson Union High,San Mateo County,2018,Percent,9.8
06618930,School District,Jefferson Union High,San Mateo County,2017,Number,491
