SchoolYear,ISDCode,ISDName,DistrictCode,DistrictName,BuildingCode,BuildingName,CountyCode,CountyName,EntityType,SchoolLevel,LOCALE_NAME,MISTEM_NAME,MISTEM_CODE,TOTAL_ENROLLMENT,MALE_ENROLLMENT,FEMALE_ENROLLMENT,AMERICAN_INDIAN_ENROLLMENT,ASIAN_ENROLLMENT,AFRICAN_AMERICAN_ENROLLMENT,HISPANIC_ENROLLMENT,HAWAIIAN_ENROLLMENT,WHITE_ENROLLMENT,TWO_OR_MORE_RACES_ENROLLMENT,EARLY_MIDDLE_COLLEGE_ENROLLMENT,KINDERGARTEN_ENROLLMENT,GRADE_1_ENROLLMENT,GRADE_2_ENROLLMENT,GRADE_3_ENROLLMENT,GRADE_4_ENROLLMENT,GRADE_5_ENROLLMENT,GRADE_6_ENROLLMENT,GRADE_7_ENROLLMENT,GRADE_8_ENROLLMENT,GRADE_9_ENROLLMENT,GRADE_10_ENROLLMENT,GRADE_11_ENROLLMENT,GRADE_12_ENROLLMENT,ECONOMIC_DISADVANTAGED_ENROLLMENT,SPECIAL_EDUCATION_ENROLLMENT,ENGLISH_LANGUAGE_LEARNERS_ENROLLMENT
"20 - 21 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","03481","Legacy Academy","82","Wayne","LEA School","Middle_High School","City: Large","Wayne Region","         3","43","32","11","0","0","42","1","0","0","0","0","0","0","0","0","0","0","4","6","6","5","2","14","6","36","<10","<10"
"20 - 21 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","03703","Ludington Magnet Middle School","82","Wayne","LEA School","Middle School","City: Large","Wayne Region","         3","137","70","67","0","0","135","1","0","0","1","0","0","0","0","0","0","0","0","44","93","0","0","0","0","110","42","<10"
"20 - 21 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","00853","Mackenzie Elementary-Middle School","82","Wayne","LEA School","Elem_Middle School","City: Large","Wayne Region","         3","799","426","373","1","0","792","5","1","0","0","0","77","76","95","93","78","86","94","107","93","0","0","0","0","724","142","<10"
"20 - 21 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","02341","Mann Learning Community","82","Wayne","LEA School","Elementary","City: Large","Wayne Region","         3","348","180","168","1","0","346","0","0","1","0","0","40","65","72","53","65","53","0","0","0","0","0","0","0","327","50","<10"
"20 - 21 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","02377","Marion Law Academy","82","Wayne","LEA School","Elem_Middle School","City: Large","Wayne Region","         3","407","202","205","0","0","405","2","0","0","0","0","43","44","47","51","41","46","56","37","42","0","0","0","0","365","48","<10"
"20 - 21 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","02383","Mark Twain Elementary-Middle School","82","Wayne","LEA School","Elem_Middle School","City: Large","Wayne Region","         3","204","104","100","0","0","170","25","0","4","5","0","33","26","22","21","25","28","13","19","17","0","0","0","0","185","24","10"
"20 - 21 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","02390","Marquette Elementary-Middle School","82","Wayne","LEA School","Elem_Middle School","City: Large","Wayne Region","         3","461","250","211","0","0","459","1","0","1","0","0","38","45","53","47","61","50","60","45","62","0","0","0","0","427","66","<10"
"20 - 21 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","01043","Martin Luther King Jr. Senior High School","82","Wayne","LEA School","High School","City: Large","Wayne Region","         3","955","493","462","1","0","951","0","1","1","1","0","0","0","0","0","0","0","0","0","0","176","310","218","251","712","91","<10"
"20 - 21 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","01518","Mary McLeod Bethune Elementary-Middle School","82","Wayne","LEA School","Elem_Middle School","City: Large","Wayne Region","         3","595","305","290","2","0","583","3","1","5","1","0","54","79","65","49","87","64","70","57","70","0","0","0","0","524","73","<10"
"20 - 21 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","02431","Mason Academy","82","Wayne","LEA School","Elem_Middle School","City: Large","Wayne Region","         3","435","232","203","0","0","430","0","4","0","1","0","31","52","49","54","57","46","54","61","31","0","0","0","0","384","69","<10"
